restaurant_id,restaurant_name,restaurant_rate,restaurant_telephone,restaurant_category,restaurant_typecode,restaurant_avg_price,restaurant_text_position,lng_wgs84,lat_wgs84
B0FFLKPCS5,喜食江南·中式料理研究所,4.5,15558882885;18658886664,综合酒楼,50101,158,金石街88号瑞利大厦停车场西北角,120.11617354136527,30.282561041484136
B0GK0CB6PU,清真燕兰人家.西北菜.团建聚餐(太子湾店),4.5,15120535853;19157765692,综合酒楼,50101,84,赤山苑8号赤山埠停车场边(免费停车到了门口打电话),120.13274498884097,30.226409217822756
B0FFFCMNAP,蒋村酒楼(河渚街),4.5,0571-88965703;15067181837,综合酒楼,50101,80,西溪国家湿地公园河渚街C1-21,120.06662815108069,30.275144141363317
B0I0MY3VDO,元茂福楼(西溪·栖悦城店),4.4,0571-88866996,综合酒楼,50101,,紫金港路21号西溪·栖悦城B1层,120.08499330310295,30.266950401924642
B0G277FHLX,老八家益乐店,4.0,0571-88237257,综合酒楼,50101,71,文一西路75号,120.10930190151016,30.28839103225681
B0KRH9U8W1,辣东家(象山大厦店),4.6,0571-88067111;18958126646,综合酒楼,50101,64,美院南街89号象山大厦F1层,120.07377040833373,30.15149789060534
B023B08QQ9,名人名家·浙菜(文二店),4.6,0571-88060008;0571-88060009,综合酒楼,50101,110,文二路38号文华景澜大酒店5楼(代客泊车),120.14023735463823,30.28624260305618
B0L2BPIK6R,龙吟阁(黄龙饭店中餐厅),4.6,0571-87998833,综合酒楼,50101,458,曙光路120号(黄龙洞地铁站A2口步行90米),120.13833272710055,30.2691112668345
B023B09325,楼外楼(杭州西湖风景名胜区店),4.6,0571-87969023;19157652805,综合酒楼,50101,155,西湖街道孤山路30号(近平湖秋月),120.13599101495286,30.25251610152323
B023B0AD1Z,食为鲜(茅家埠店),4.3,0571-87962886;13355718111,综合酒楼,50101,101,上茅家埠205号,120.11272665521206,30.241826644579735
B0FFGYSP84,天禧·西溪酒家(西溪店),4.5,0571-87788693,综合酒楼,50101,87,文二西路669号2楼202,120.0831412364892,30.28261767921732
B0FFHP7T1X,313羊庄(杭州首店锋尚路店),4.6,0571-87656313;15384003941,综合酒楼,50101,91,锋尚路15号(老头儿油爆虾南行100米),120.08751376084174,30.276559698698904
B023B09VIP,新天禧大酒店(西湖店),4.6,0571-87352006;0571-87352007,综合酒楼,50101,164,文三西路118号天禧大酒店4楼(大厦内设有停车场),120.11053772267837,30.279143817135093
B023B13YDH,君庭大酒楼,3.2,0571-87170000;15267217711,综合酒楼,50101,114,申花路789号龙申综合发展中心(剑桥公社)D、E楼三层,120.09048798760458,30.308183679663312
B0FFJIURCV,全悦家宴,4.5,0571-86502222,综合酒楼,50101,115,古墩路995号(三墩地铁站C口步行220米),120.08835050106336,30.320581503092058
B0G1G9PI36,陇上花开,3.9,0571-86061577;18657169883,综合酒楼,50101,,转塘街道龙坞茶镇上城埭路南189号,120.02842863168765,30.175164235266568
B0FFHUMJ1O,浙桢酒楼,4.5,0571-81956777;15221357739,综合酒楼,50101,92,三墩镇石祥西路859号紫金创业园1号楼欧亚美国际大酒店二楼,120.06960790059952,30.3101659511665
B0J1ZM7GFD,水晶嵊宴中餐厅,3.6,0571-81670988;15258806326,综合酒楼,50101,146,古墩路671号浙大圆正启真水晶酒店5楼,120.09185537392112,30.30406303256775
