restaurant_id,restaurant_name,restaurant_rate,restaurant_telephone,restaurant_category,restaurant_typecode,restaurant_avg_price,lng_gcj02,lat_gcj02,restaurant_text_position
B0FFLKPCS5,喜食江南·中式料理研究所,4.5,15558882885;18658886664,综合酒楼,50101,158,120.120953,30.280281,金石街88号瑞利大厦停车场西北角
B0GK0CB6PU,清真燕兰人家.西北菜.团建聚餐(太子湾店),4.5,15120535853;19157765692,综合酒楼,50101,84,120.137483,30.224105,赤山苑8号赤山埠停车场边(免费停车到了门口打电话)
B0FFFCMNAP,蒋村酒楼(河渚街),4.5,0571-88965703;15067181837,综合酒楼,50101,80,120.071444,30.272858,西溪国家湿地公园河渚街C1-21
B0I0MY3VDO,元茂福楼(西溪·栖悦城店),4.4,0571-88866996,综合酒楼,50101,暂无数据,120.089809,30.264678,紫金港路21号西溪·栖悦城B1层
B0G277FHLX,老八家益乐店,4,0571-88237257,综合酒楼,50101,71,120.114094,30.286117,文一西路75号
B0KRH9U8W1,辣东家(象山大厦店),4.6,0571-88067111;18958126646,综合酒楼,50101,64,120.078578,30.149212,美院南街89号象山大厦F1层
B023B08QQ9,名人名家·浙菜(文二店),4.6,0571-88060008;0571-88060009,综合酒楼,50101,110,120.144961,30.283932,文二路38号文华景澜大酒店5楼(代客泊车)
B0L2BPIK6R,龙吟阁(黄龙饭店中餐厅),4.6,0571-87998833,综合酒楼,50101,458,120.14306,30.266802,曙光路120号(黄龙洞地铁站A2口步行90米)
B023B09325,楼外楼(杭州西湖风景名胜区店),4.6,0571-87969023;19157652805,综合酒楼,50101,155,120.140723,30.250209,西湖街道孤山路30号(近平湖秋月)
B023B0AD1Z,食为鲜(茅家埠店),4.3,0571-87962886;13355718111,综合酒楼,50101,101,120.117509,30.239546,上茅家埠205号
B0FFGYSP84,天禧·西溪酒家(西溪店),4.5,0571-87788693,综合酒楼,50101,87,120.087959,30.280346,文二西路669号2楼202
B0FFHP7T1X,313羊庄(杭州首店锋尚路店),4.6,0571-87656313;15384003941,综合酒楼,50101,91,120.092329,30.274289,锋尚路15号(老头儿油爆虾南行100米)
B023B09VIP,新天禧大酒店(西湖店),4.6,0571-87352006;0571-87352007,综合酒楼,50101,164,120.115327,30.276868,文三西路118号天禧大酒店4楼(大厦内设有停车场)
B023B13YDH,君庭大酒楼,3.2,0571-87170000;15267217711,综合酒楼,50101,114,120.095304,30.305917,申花路789号龙申综合发展中心(剑桥公社)D、E楼三层
B0FFJIURCV,全悦家宴,4.5,0571-86502222,综合酒楼,50101,115,120.093169,30.318316,古墩路995号(三墩地铁站C口步行220米)
B0G1G9PI36,陇上花开,3.9,0571-86061577;18657169883,综合酒楼,50101,暂无数据,120.033184,30.172797,转塘街道龙坞茶镇上城埭路南189号
B0FFHUMJ1O,浙桢酒楼,4.5,0571-81956777;15221357739,综合酒楼,50101,92,120.074428,30.307887,三墩镇石祥西路859号紫金创业园1号楼欧亚美国际大酒店二楼
B0J1ZM7GFD,水晶嵊宴中餐厅,3.6,0571-81670988;15258806326,综合酒楼,50101,146,120.09667,30.301796,古墩路671号浙大圆正启真水晶酒店5楼
B023B17GC5,大东北奥星餐厅(颐高广场店),4.5,0571-56775266;0571-88068975;15168466767,综合酒楼,50101,65,120.133325,30.274775,黄姑山路19号
B023B092NX,知味观(文苑路点心分店),4.6,0571-56758035;15268100770,综合酒楼,50101,30,120.102816,30.275705,文三西路253号(五联地铁站E口步行240米)
B0FFGFRBP2,知味观(紫荆花路点心分店),4.5,0571-56758029,综合酒楼,50101,42,120.093179,30.29096,紫荆花路386号紫荆大厦104室
B0IBU7Q49U,杭州雲栖里·民国餐厅(云栖竹径景区店),4.5,18969118198,综合酒楼,50101,130,120.094231,30.19355,梅灵南路8号云栖竹径(东北角)
B0FFF9Y50V,礼耕堂(梅家坞店),4.5,18958000006,综合酒楼,50101,108,120.088707,30.204841,梅灵南路梅家坞203号(近龙井虎跑)
B023B13YGD,马灯部落-杭帮创意菜(杭州西湖虎跑店),4.7,18957158529,综合酒楼,50101,100,120.138161,30.216354,虎跑路四眼井238号
B0JAZ6LFLG,火日粒三头一掌·衢州菜(西溪店),4.6,18757121757,综合酒楼,50101,86,120.06243,30.283009,蒋村街道晴川街425号1号楼101室
B0JGP7IS79,兼烤关自助烤肉火锅,3.3,18006715566,综合酒楼,50101,暂无数据,120.018834,30.210276,留下街道留和路546-2楼
B0J26ZOSA7,方中山胡辣汤(杭州首店)清真,4.6,17737505733,综合酒楼,50101,24,120.124687,30.282709,翠苑街道文二路338号
B0JDYLZK0Z,新疆祖传烧烤王(浙大堕落街店),4.1,17690940626,综合酒楼,50101,56,120.091119,30.310821,紫荆花北路望月公寓85号商铺
B0H3JR7B6O,碧桃小馆·半坡花园(暂停营业),4.7,17306819116,综合酒楼,50101,134,120.13794,30.216436,四眼井268号
B0FFHWSJAL,东北饺子(卸紫家园北区店),3.6,15824452871,综合酒楼,50101,23,120.078504,30.324333,灯彩街349-351号
B0J1YDMRGZ,松花江上·东北小馆(三深国际中心店),4.5,15336522238,综合酒楼,50101,64,120.075004,30.291607,双龙街99号三深国际下沉广场-步行楼梯入口位于三深星巴克侧面
B0JGS5K5NJ,重庆鸡公煲(灯彩街店),4,15205648182,综合酒楼,50101,38,120.078547,30.324305,灯彩街347号
B0FFHWUL6O,喜洋洋烤肉烤羊腿老北京火锅(同仁店),4.5,13777496233,综合酒楼,50101,94,120.078617,30.326457,三墩镇同仁商业区D区123号
B0FFLGSOX2,灼悦,4.3,13758209603,综合酒楼,50101,73,120.047807,30.226761,屏新路18号520新天地科技产业园1号楼东门
B0FFHLM3SE,三千西子,4.5,13666666336,综合酒楼,50101,325,120.15486,30.265664,省府路9-1号(武林门地铁站C口步行440米)
B0FFHO9XQJ,郭记烤鱼馆文三西路店,4.5,13666618623,综合酒楼,50101,78,120.105428,30.276188,文三西路398号
B023B07JCR,仙妮面馆家常菜,3.4,13588066754,综合酒楼,50101,47,120.090747,30.324929,古墩路1109号
B0JA3MW2JO,老男孩鹤岗小串(剑桥公社D座店),4.5,13115488950,综合酒楼,50101,62,120.094721,30.305649,剑桥公社D座4幢8号
B0FFF4RN7J,夕佳楼,4.3,暂无数据,综合酒楼,50101,60,120.114765,30.22525,西湖街道龙井路1号杭州西湖风景名胜区
B0JA1NFMX4,福记酒楼(晴川大厦店),4.2,暂无数据,综合酒楼,50101,70,120.061706,30.283009,晴川街425号晴川大厦F2层
B0JA29AGSZ,太和酒楼,3.9,暂无数据,综合酒楼,50101,69,120.098875,30.170775,之江路148号杭州宋城
B0JDARW4YZ,佬街佬味(古墩路店),3.9,暂无数据,综合酒楼,50101,41,120.100186,30.277466,古墩路369号金田花园(五联地铁站E口步行230米)
B0JR47BTWZ,寻味堂(上城埭路店),3.6,暂无数据,综合酒楼,50101,暂无数据,120.035146,30.175434,转塘街道龙坞上城埭路北48号
B0FFHOJQPG,衢州小炒(之江家园店),3.6,暂无数据,综合酒楼,50101,暂无数据,120.078506,30.149243,美院南街89号象山大厦F1层
B0IA3XKTB9,重庆鸡公煲(中茵大厦店),4.4,15990042558;18868792133,四川菜(川菜),50102,46,120.127215,30.276507,文三路451中茵大厦B1层
B0FFHHKOD1,渝香小厨,4.4,13735808655;18656581683,四川菜(川菜),50102,63,120.152014,30.261138,宝石山下二弄2-6号1幢
B0FFFDT0PS,重庆鸡公煲(石马社区店),4.5,13721293150;13777571135,四川菜(川菜),50102,40,120.023266,30.208907,石马新村公寓楼1幢1单元101室
B0JAPUXJJ1,渝味江湖(德萃公寓店),4.1,13635327063;15736327075,四川菜(川菜),50102,65,120.074607,30.309978,萃紫街39号
B0K0OHN70F,渝侯爷·山城大排档(西溪天街店),4.5,13396517748;17601212902,四川菜(川菜),50102,66,120.067834,30.29348,龙湖西溪天街9号楼113-114
B0LKHCR1DU,九九豆花馆·川味家常菜(杭州首店),4.3,0571-88315913,四川菜(川菜),50102,60,120.066692,30.291525,双龙街239号西投创智中心F1层
B0H1O1XQGQ,重庆来条鱼肥肠鱼(万塘汇店),4.4,0571-87977097;0571-88560866;15968193998,四川菜(川菜),50102,97,120.124727,30.278626,万塘路262号万塘汇广场F1层
B0H6CR03PQ,新沸腾鱼乡(黄姑山路店),4.7,0571-87918777,四川菜(川菜),50102,135,120.133639,30.273122,黄姑山路3号3层
B0FFGHBLPP,入蜀·川味泡菜馆(塘苗路店),4.6,0571-87337991,四川菜(川菜),50102,81,120.122783,30.274252,塘苗路2号
B0FFJCVCL1,川娃子川菜馆(万塘路店),4.5,0571-85390887,四川菜(川菜),50102,74,120.125115,30.279038,万塘路262号烟火万塘生活广场F1层
B0FFFD8N8Z,川味泡菜馆(黄姑山路店),4.7,0571-56776566,四川菜(川菜),50102,69,120.133444,30.274237,黄姑山路11号
B0FFF053KM,重庆鸡公煲求智社区店,3.7,19558128369,四川菜(川菜),50102,44,120.142154,30.27769,文三路158号3幢1号1层西起第七间
B0J19H00Y2,重庆鸡公煲(西港新界B区店),3.4,19357323982,四川菜(川菜),50102,50,120.068963,30.312723,暂无数据
B0JGGCT5X7,飞花令·川菜馆(转塘店),4.6,19357185866,四川菜(川菜),50102,56,120.070176,30.14285,霞鸣街215号(霞鸣街地铁站C口步行270米)
